mac	opzoekdatum	titel_in_gids	type	duur	playlist
L	20190703_14	Concertzender Actueel	herhaling	120	CZ-Actueel (herhaling)
L	20190704_14	Concertzender Live	nieuw	120	CZ-Archief
L	20190705_14	Concertzender Live	nieuw	120	CZ-Live oud_klassiek
L	20190710_14	Concertzender Actueel	nieuw	120	CZ-Actueel
U	20190627_19	Onbekend is Onbemind?	HiJack 	060	Onbemind
U	20190627_20	De Vorige Eeuw	HiJack 	060	De Vorige Eeuw (herhaling)
U	20190627_21	Sonoor	HiJack 	060	Sonoor (herhaling)
U	20190630_15	Early Delights	HiJack 	060	Early Delights
U	20190630_16	Serie Jordi Savall	HiJack 	060	Documento (herhaling)
U	20190630_17	Bijdetijds	HiJack 	060	Bijdetijds (herhaling)
U	20190630_19	Sensenta	HiJack 	060	Sensenta (herhaling)
U	20190630_21	X-Rated	HiJack 	120	X-rated (herhaling)
U	20190702_19	De wandeling	HiJack 	060	Wandeling (herhaling)
U	20190702_20	Geniale Muziekvrienden	HiJack 	060	Geniale Muziekvrienden
U	20190702_21	Tussen droom en daad	HiJack 	060	Tussen Droom en Daad (herhaling)
U	20190703_20	De Muzikant	HiJack 	060	De Muzikant
U	20190703_21	Door de Mazen van het Net	HiJack 	060	Mazen (herhaling)
U	20190614_20	Disc-Cover!	herhaling	060	Disc-Cover (herhaling)
U	20190627_13	Geen dag zonder Bach	herhaling	060	Geen Dag zonder Bach D_do
U	20190628_13	Geen dag zonder Bach	herhaling	060	Geen Dag zonder Bach E_vr
U	20190628_19	Oriënt Express	herhaling	060	Oriënt Express (herhaling)
U	20190628_21	De Klankbron	herhaling	060	De Klankbron
U	20190629_01	De Nacht: Wereld	herhaling	360	De Nacht - Wereldmuziek
U	20190629_10	Zwerven door de Renaissance	herhaling	060	Zwerven (herhaling)
U	20190629_13	Chanson	herhaling	060	Chanson (herhaling)
U	20190629_16	Groove & Grease	herhaling	060	Groove & Grease
U	20190629_18	Latin Jazz	herhaling	060	Latin Jazz
U	20190629_19	Jazz Piano	herhaling	060	Jazz Piano (herhaling)
U	20190629_20	Het Paleis van de Weemoed	herhaling	060	Paleis vd Weemoed (herhaling)
U	20190629_23	Off the Beaten Track(s)	herhaling	060	Off the Beaten Tracks
U	20190630_04	De Nacht: Klassiek	herhaling	180	De Nacht - Klassiek G_zo
U	20190630_12	Radio Monalisa	herhaling	060	Monalisa (herhaling)
U	20190630_13	Paul Korenhofs Opera Actueel	herhaling	060	Opera Actueel (herhaling)
U	20190701_05	Framework 1	herhaling	060	Framework 1
U	20190701_06	Framework 2	herhaling	060	Framework 2
U	20190701_19	Nuove Musiche	herhaling	060	Nuove Musiche (herhaling)
U	20190701_20	Concertzender Live	herhaling	120	CZ-Live hedendaags
U	20190701_22	De Modernen	herhaling	060	De Modernen
U	20190701_23	Front Runnin’	herhaling	060	Front Runnin' (herhaling)
U	20190702_01	De Nacht: Klassiek	herhaling	360	De Nacht - Klassiek B_di
