cz_id,pgm_dtm,pgm_start,pgm_stop,title,herh_van,cz_id_herh
513466,20190711,00,01,"Space Exposure",20190707_20,513464
513475,20190711,01,02,X-Ray,20190707_23,513473
515389,20190711,02,07,"De Nacht: Hedendaags",20190704_02,515387
513568,20190711,07,10,Ochtendeditie,-,-
512579,20190711,10,11,"De wandeling",20190702_19,512577
513426,20190711,11,12,Madge-point,20190707_10,513424
512511,20190711,12,13,"Serie Jordi Savall",20190630_16,512509
515017,20190711,13,14,"Geen Dag zonder Bach",-,-
515021,20190711,14,16,"Concertzender Live",-,-
514656,20190711,16,17,"Componist van de maand",20190704_16,514654
517342,20190711,17,18,Chanson,20190706_13,517340
513390,20190711,18,19,"Classic Jazz",20190706_16,513388
515025,20190711,19,20,"Onbekend is Onbemind?",-,-
515029,20190711,20,21,"De Vorige Eeuw",-,-
515033,20190711,21,22,Sonoor,-,-
515037,20190711,22,23,Popart,-,-
515041,20190711,23,00,Pakrammel,20190627_23,512405
513398,20190712,00,01,"Spinning the Blues",20190706_18,513396
513497,20190712,01,02,"American Highways",20190708_22,513495
515039,20190712,02,03,Popart,20190711_22,515037
513414,20190712,03,04,"The Art of the Improvisers",20190706_23,513412
513517,20190712,04,05,"Opera in de 20ste eeuw",20190709_17,513515
513434,20190712,05,06,"Een Os op het Dak",20190707_12,513432
513521,20190712,06,07,"Missa etcetera",20190709_18,513519
513336,20190712,07,10,Ochtendeditie,20190705_07,513334
513551,20190712,10,12,"Concertzender Actueel",20190710_14,513549
513324,20190712,12,13,Sonoor,20190704_21,513322
515045,20190712,13,14,"Geen Dag zonder Bach",-,-
515049,20190712,14,16,"Concertzender Live",-,-
514660,20190712,16,17,"Componist van de maand",20190705_16,514658
513454,20190712,17,18,Bijdetijds,20190707_17,513452
513402,20190712,18,19,"Holland Jazz",20190706_19,513400
515053,20190712,19,20,"Oriënt Express",-,-
515057,20190712,20,21,Disc-Cover!,-,-
515061,20190712,21,22,"De Zwervende Microfoon",-,-
515065,20190712,22,23,Wereldmineralen,-,-
515069,20190712,23,00,"Wereldmuziek Club",-,-
513348,20190713,00,01,"El Mundo",20190705_20,513346
515392,20190713,01,07,"De Nacht: Wereld",-,-
513366,20190713,07,10,Ochtendeditie,20190706_07,513364
515073,20190713,10,11,"Zwerven door de Barok",-,-
513535,20190713,11,12,"Tussen droom en daad",20190709_21,513533
515077,20190713,12,13,"The Sound of Movies",-,-
515081,20190713,13,14,Chanson,-,-
515085,20190713,14,15,"Concertzender Live",-,-
515089,20190713,15,16,"Three of a Kind",-,-
515093,20190713,16,17,"Moanin’ the Blues",-,-
515097,20190713,17,18,"Krizz Krazz",-,-
515101,20190713,18,19,"Vocale Jazz",-,-
515105,20190713,19,20,"Musicians Corner",20151214_22,323335
515109,20190713,20,21,"Het Paleis van de Weemoed",-,-
513501,20190713,21,22,"Front Runnin’",20190708_23,513499
515113,20190713,22,23,JazzNotJazz,-,-
515117,20190713,23,00,"The Art of the Improvisers",-,-
515099,20190714,00,01,"Krizz Krazz",20190713_17,515097
513493,20190714,01,03,"Concertzender Live",20190708_20,513491
513438,20190714,03,04,"Paul Korenhofs Opera Actueel",20190707_13,513436
515396,20190714,04,07,"De Nacht: Klassiek",-,-
513422,20190714,07,10,Ochtendeditie,20190707_07,513420
515123,20190714,10,11,"Het pianoatelier",-,-
515127,20190714,11,12,"Die sanck een Liedt",-,-
515131,20190714,12,13,"Radio Monalisa",-,-
515135,20190714,13,14,"Paul Korenhofs Opera Actueel",-,-
515139,20190714,14,15,"Het Strijkkwartet",-,-
515143,20190714,15,16,"L’Esprit Baroque",-,-
515147,20190714,16,17,Orgelwerk,-,-
515151,20190714,17,18,Bijdetijds,-,-
515155,20190714,18,19,"Folk It!",-,-
515159,20190714,19,20,Sensenta,-,-
515163,20190714,20,21,DreamScenes,-,-
515167,20190714,21,23,X-Rated,-,-
515171,20190714,23,00,X-Ray,-,-
515175,20190715,00,01,"Dr. Klangendum",-,-
515043,20190715,01,02,Pakrammel,20190627_23,512405
513562,20190715,02,03,"Electronic Frequencies",20190710_22,513560
513471,20190715,03,05,X-Rated,20190707_21,513468
515177,20190715,05,06,"Framework 1",-,-
515181,20190715,06,07,"Framework 2",-,-
513481,20190715,07,10,Ochtendeditie,20190708_07,513479
513316,20190715,10,11,"Klassieke Zaken",20190704_19,513314
513530,20190715,11,12,"Radio Romantica",20190709_20,513527
513320,20190715,12,13,"De Vorige Eeuw",20190704_20,513318
513485,20190715,13,14,"Geen dag zonder Bach",20190708_13,513483
515023,20190715,14,16,"Concertzender Live",20190711_14,515021
514664,20190715,16,17,"Componist van de maand",20190708_16,514662
513557,20190715,17,19,"Concertzender Live",20190710_20,513555
515185,20190715,19,20,"Nuove Musiche",-,-
515189,20190715,20,22,"Concertzender Live",-,-
515193,20190715,22,23,"De Modernen",-,-
515197,20190715,23,00,"Front Runnin’",-,-
515115,20190716,00,01,JazzNotJazz,20190713_22,515113
515400,20190716,01,07,"De Nacht: Klassiek",-,-
513509,20190716,07,10,Ochtendeditie,20190709_07,513507
513406,20190716,10,11,"Het Paleis van de Weemoed",20190706_20,513404
513489,20190716,11,12,"Nuove Musiche",20190708_19,513487
513370,20190716,12,13,"Zwerven door de Barok",20190706_10,513368
513513,20190716,13,14,"Geen dag zonder Bach",20190709_13,513511
515051,20190716,14,16,"Concertzender Live",20190712_14,515049
514668,20190716,16,17,"Componist van de maand",20190709_16,514666
515203,20190716,17,18,"Opera in de 20ste eeuw",-,-
515207,20190716,18,19,"Missa etcetera",-,-
515211,20190716,19,20,"De wandeling",-,-
515215,20190716,20,21,"Radio Romantica",-,-
515219,20190716,21,22,"Tussen droom en daad",-,-
513462,20190716,22,23,Sensenta,20190707_19,513460
513344,20190716,23,00,"Oriënt Express",20190705_19,513342
515067,20190717,00,01,Wereldmineralen,20190712_22,515065
515087,20190717,01,02,"Concertzender Live",20190713_14,515085
513352,20190717,02,03,"Exitos Musicales",20190705_21,513350
515404,20190717,03,07,"De Nacht: Klassiek",-,-
513543,20190717,07,10,Ochtendeditie,20190710_07,513541
513446,20190717,10,11,"De Tuin van Oud",20190707_15,513444
515141,20190717,11,12,"Het Strijkkwartet",20190714_14,515139
515129,20190717,12,13,"Die sanck een Liedt",20190714_11,515127
513547,20190717,13,14,"Geen Dag zonder Bach",20190710_13,513545
515225,20190717,14,16,"Concertzender Actueel",-,-
514672,20190717,16,17,"Componist van de maand",20190710_16,514670
515079,20190717,17,18,"The Sound of Movies",20190713_12,515077
515091,20190717,18,19,"Three of a Kind",20190713_15,515089
